household_id,id,rent_monthly,bedrooms_overcrowding,rooms,rooms_overcrowding,has_toilet,has_fridge,tablets_owned_count,males_under_12,males_over_12,males_total,females_under_12,females_over_12,females_total,persons_under_12,persons_over_12,persons_total,total_household,schooling,household_size,walls_brick,walls_socket,walls_prefab,walls_waste,walls_wood,walls_zinc,walls_natural,walls_other,floor_tile,floor_cement,floor_other,floor_natural,floor_na,floor_wood,roof_metal,roof_cement,roof_natural,roof_other,has_cieling,water_inside,water_outside,water_na,elec_public,elec_private,elec_na,elec_coop,toilet_na,toilet_sewer,toilet_septank,toilet_latrine,toilet_other,energ_na,energ_cook_elec,energ_cook_gas,energ_cook_wood,trash_truck,trash_buried,trash_burn,trash_dump,trash_water,trash_other,qualwall_bad,qualwall_reg,qualwall_good,qualroof_bad,qualroof_reg,qualroof_good,qualfloor_bad,qualfloor_reg,qualfloor_good,male,female,ec_under_10,ec_free_union,ec_married,ec_divorced,ec_separated,ec_widow/er,ec_single,pc_house_head,pc_spouse,pc_child,pc_stepchild,pc_child_inlaw,pc_grandchild,pc_parent,pc_parent_inlaw,pc_sibling,pc_sibling_inlaw,pc_fam_other,pc_nonfam_other,total_children,total_adults,total_seniors,total_members,mean_edu,bedrooms,overcrowding,house_own,house_mortgage,house_rent,house_prec,house_other,has_computer,has_television,has_mobileph,total_mobileph,reg_central,reg_chorotega,reg_paccentral,reg_brunca,reg_huetaratl,reg_huetarnor,zone_urban,zone_rural,age,target,dis_cnt,mean_age
001ff74ca,ID_654683e33,0,0,6,0,1,1,1,0,0,0,1,1,2,1,1,2,2,16,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,16,4,0.5,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,38,4,0,19
003123ec2,ID_5bef9b553,0,0,3,0,1,1,0,2,1,3,0,1,1,2,2,4,4,6,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,6.5,2,2,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,24,2,0,12.75
4616164,ID_ca701e058,0,0,4,0,1,1,0,0,2,2,0,0,0,0,2,2,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,3,0.66666669,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,50,2,0,33
4983866,ID_1e320689c,0,0,5,0,1,1,0,0,1,1,0,1,1,0,2,2,2,8,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,8,2,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,59,3,0,37.5
5905417,ID_308a05a16,0,0,8,0,1,0,0,1,1,2,0,1,1,1,2,3,3,9,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,9,6,0.5,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,32,2,0,17.33333333
006031de3,ID_85d5cd65c,180000,0,4,0,1,1,2,1,1,2,1,1,2,2,2,4,4,15,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,15.5,2,2,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,39,4,0,23.5
006555fe2,ID_df7f1c1c3,0,0,6,0,1,1,0,0,3,3,0,2,2,0,5,5,5,4,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,10.4,4,1.25,1,0,0,0,0,0,1,1,4,1,0,0,0,0,0,1,0,79,4,1,58.2
00693f597,ID_2dee27fc9,150000,0,4,0,1,1,0,1,2,3,0,1,1,1,3,4,4,9,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,10,2,2,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,34,4,0,26.75
006b64543,ID_d2317b09a,0,0,4,0,1,1,0,0,1,1,0,1,1,0,2,2,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,2,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,54,4,0,43
00941f1f4,ID_9dfd16bf3,50000,0,4,0,1,1,0,0,1,1,0,3,3,0,4,4,4,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,6.25,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,83,1,0,61
