,0
0,4
1,2
2,2
3,3
4,2
5,4
6,4
7,4
8,4
9,1
10,2
11,4
12,4
13,4
14,4
15,4
16,4
17,3
18,4
19,3
20,1
21,4
22,4
23,4
24,4
25,3
26,4
27,2
28,4
29,3
30,2
31,4
32,3
33,3
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,1
42,4
43,4
44,4
45,1
46,4
47,4
48,4
49,4
50,4
51,3
52,4
53,4
54,4
55,3
56,4
57,4
58,4
59,4
60,2
61,4
62,4
63,1
64,1
65,2
66,4
67,1
68,4
69,4
70,2
71,3
72,4
73,3
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,2
85,4
86,4
87,4
88,4
89,4
90,1
91,1
92,4
93,4
94,2
95,4
96,3
97,4
98,1
99,4
100,4
101,4
102,3
103,4
104,4
105,4
106,4
107,3
108,4
109,4
110,1
111,2
112,2
113,4
114,4
115,3
116,4
117,4
118,3
119,4
120,2
121,2
122,4
123,4
124,4
125,2
126,4
127,4
128,4
129,2
130,2
131,4
132,3
133,2
134,4
135,2
136,3
137,4
138,4
139,4
140,2
141,4
142,4
143,4
144,4
145,4
146,4
147,3
148,4
149,1
150,4
151,2
152,4
153,2
154,4
155,4
156,4
157,4
158,4
159,1
160,3
161,4
162,3
163,2
164,3
165,4
166,4
167,4
168,4
169,4
170,4
171,1
172,4
173,4
174,3
175,4
176,3
177,4
178,4
179,4
180,4
181,1
182,4
183,4
184,1
185,4
186,1
187,2
188,4
189,3
190,4
191,4
192,4
193,2
194,4
195,4
196,4
197,2
198,4
199,2
200,4
201,4
202,4
203,4
204,4
205,4
206,2
207,4
208,4
209,4
210,4
211,4
212,2
213,4
214,3
215,4
216,4
217,4
218,4
219,3
220,4
221,1
222,4
223,4
224,4
225,2
226,4
227,3
228,4
229,2
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,1
238,3
239,4
240,4
241,2
242,4
243,4
244,4
245,3
246,2
247,4
248,4
249,4
250,4
251,4
252,4
253,3
254,4
255,4
256,4
257,1
258,2
259,4
260,4
261,4
262,3
263,4
264,4
265,4
266,4
267,1
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,3
278,4
279,4
280,4
281,4
282,2
283,2
284,4
285,4
286,4
287,4
288,2
289,4
290,3
291,2
292,4
293,2
294,4
295,2
296,4
297,2
298,3
299,4
300,4
301,3
302,3
303,3
304,4
305,4
306,3
307,4
308,4
309,4
310,3
311,2
312,4
313,1
314,4
315,2
316,2
317,4
318,1
319,4
320,1
321,4
322,4
323,4
324,3
325,4
326,3
327,4
328,1
329,4
330,1
331,3
332,4
333,3
334,4
335,4
336,4
337,2
338,4
339,4
340,4
341,3
342,4
343,2
344,4
345,3
346,4
347,4
348,4
349,3
350,4
351,3
352,4
353,4
354,4
355,4
356,4
357,4
358,4
359,4
360,4
361,1
362,4
363,1
364,4
365,4
366,4
367,3
368,4
369,3
370,4
371,4
372,4
373,4
374,4
375,4
376,2
377,2
378,4
379,1
380,4
381,4
382,4
383,4
384,1
385,2
386,4
387,1
388,4
389,3
390,4
391,2
392,4
393,3
394,2
395,3
396,4
397,4
398,4
399,2
400,4
401,4
402,3
403,1
404,4
405,4
406,3
407,4
408,4
409,4
410,4
411,2
412,4
413,4
414,4
415,4
416,4
417,4
418,2
419,4
420,4
421,4
422,4
423,4
424,4
425,4
426,4
427,4
428,4
429,4
430,3
431,3
432,2
433,2
434,4
435,4
436,4
437,4
438,4
439,4
440,4
441,2
442,4
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,2
452,3
453,3
454,3
455,3
456,2
457,4
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,1
466,4
467,4
468,3
469,2
470,4
471,4
472,4
473,4
474,3
475,1
476,1
477,3
478,4
479,4
480,2
481,4
482,3
483,4
484,2
485,4
486,4
487,4
488,2
489,4
490,1
491,4
492,4
493,3
494,4
495,4
496,4
497,4
498,4
499,1
500,3
501,3
502,3
503,4
504,4
505,4
506,4
507,2
508,4
509,4
510,4
511,4
512,3
513,4
514,4
515,2
516,4
517,4
518,4
519,1
520,3
521,3
522,2
523,4
524,4
525,3
526,2
527,4
528,4
529,4
530,4
531,4
532,1
533,4
534,4
535,4
536,4
537,1
538,4
539,4
540,4
541,4
542,4
543,4
544,1
545,4
546,3
547,4
548,4
549,4
550,4
551,4
552,4
553,3
554,4
555,2
556,2
557,4
558,4
559,2
560,2
561,4
562,3
563,2
564,2
565,3
566,2
567,3
568,4
569,4
570,4
571,2
572,2
573,1
574,1
575,4
576,4
577,2
578,4
579,4
580,1
581,4
582,4
583,2
584,4
585,4
586,4
587,4
588,2
589,4
590,3
591,4
592,3
593,4
594,4
595,4
596,3
597,3
598,4
599,4
600,4
601,3
602,1
603,2
604,4
605,1
606,4
607,3
608,3
609,3
610,4
611,4
612,4
613,3
614,4
615,2
616,2
617,2
618,2
619,1
620,1
621,4
622,4
623,1
624,4
625,2
626,1
627,3
628,4
629,4
630,4
631,4
632,4
633,2
634,3
635,4
636,4
637,4
638,2
639,4
640,1
641,3
642,4
643,4
644,2
645,4
646,4
647,1
648,4
649,2
650,4
651,2
652,4
653,4
654,4
655,2
656,3
657,3
658,3
659,4
660,4
661,4
662,4
663,4
664,4
665,1
666,4
667,4
668,3
669,2
670,3
671,4
672,4
673,4
674,3
675,4
676,2
677,4
678,4
679,2
680,4
681,4
682,4
683,4
684,2
685,2
686,3
687,2
688,4
689,2
690,3
691,4
692,3
693,4
694,4
695,4
696,4
697,1
